Node,X,Y
1,245552,817827
2,247133,810905
3,247205,810188
4,249238,806280
5,250111,805152
6,254475,804794
7,254683,804777
8,254950,804294
9,255622,803825
10,255802,803469
11,255972,803808
12,256047,803538
13,256147,803108
14,256311,803691
15,256788,803175
16,256933,801630
17,257072,802936
18,257072,803258
19,257211,802686
20,257263,803555
21,257544,803275
22,257630,802963
23,257738,801938
24,257902,801302
25,258100,803025
26,258219,802897
27,258402,803266
28,258458,801541
29,258550,801933
30,258572,802783
31,258627,801930
32,258647,803247
33,258702,802991
34,258780,801258
35,258822,801808
36,258872,801313
37,258897,801869
38,258913,801272
39,259013,974972
40,259019,802505
41,259305,803286
42,259327,801627
43,259402,802458
44,259480,801508
45,259502,801230
46,259619,801769
47,259647,801225
48,259647,802416
49,259722,817291
50,259808,801486
51,259869,802325
52,259875,801750
53,260027,802241
54,260108,801497
55,260519,801441
56,260569,802719
57,260644,802322
58,260713,974761
59,260730,972083
60,260883,817263
61,260919,979569
62,261000,982627
63,261005,972900
64,261033,971644
65,261219,801436
66,261272,802333
67,261322,976308
68,261400,802136
69,261416,817950
70,261494,979133
71,261586,978236
72,261591,979905
73,261600,801391
74,261661,802086
75,261700,980516
76,261833,981227
77,261902,976958
78,261916,800966
79,261944,981833
80,262022,800941
81,262030,982297
82,262155,983250
83,262188,817919
84,262255,977577
85,262350,975816
86,262375,801250
87,262441,802066
88,262466,984811
89,262483,977336
90,262563,978247
91,262613,818094
92,262825,801072
93,262869,983130
94,262930,979927
95,262936,800791
96,262936,979602
97,262983,979283
98,263013,981630
99,263180,801000
100,263305,818269
101,263394,817788
102,263583,800833
103,263727,979713
104,263794,988200
105,263991,800658
106,264047,990155
107,264119,977894
108,264183,814175
109,264422,980136
110,264486,820225
111,264516,819483
112,264611,800730
113,264669,818016
114,265250,800666
115,265266,800486
116,265625,819497
117,265661,800536
118,265863,800522
119,265886,800388
120,266155,800572
121,266233,801255
122,266250,816250
123,266402,818725
124,266450,800761
125,266636,807163
126,266669,818802
127,266744,818152
128,266841,806677
129,266908,801202
130,267052,800366
131,267088,817461
