Dataset,Nodes,Optimal,Finished,Leaves count,Best,Error,Elapsed time,Memory usage
eil51,51,426,False,5,456.0,0.0704225352112675,1800.1288781166077,16.817099571228027
berlin52,52,7542,False,3,9387.0,0.2446300715990452,1817.0803458690643,2339.844795227051
st70,70,675,False,4,854.0,0.2651851851851852,1832.2764821052551,3061.371337890625
eil76,76,538,False,2,605.0,0.1245353159851301,1813.065588235855,2104.204429626465
pr76,76,108159,False,1,123786.0,0.1444817352231437,1812.206574678421,1890.564655303955
rat99,99,1211,False,2,1552.0,0.2815854665565649,1820.0310921669009,4859.0476722717285
kroA100,100,21282,False,7,27463.0,0.2904332299595902,1815.6099503040316,2656.685607910156
kroB100,100,22141,False,4,27350.0,0.2352648931845897,1816.3813829422,4180.40531539917
kroC100,100,20749,False,2,28464.0,0.3718251481999133,1813.6267139911647,3440.430637359619
kroD100,100,21294,False,2,28684.0,0.3470461162768854,1820.174743652344,5020.352554321289
kroE100,100,22068,False,1,27302.0,0.2371760014500634,1822.6143474578855,5281.179382324219
rd100,100,7910,False,1,11316.0,0.4305941845764856,1818.0771067142489,4559.838802337647
eil101,101,629,False,2,740.0,0.1764705882352941,1817.008697271347,3787.170684814453
lin105,105,14379,False,1,18861.0,0.3117045691633633,1813.4980137348173,3721.3882637023926
pr107,107,44303,False,0,,,1802.1783864498136,510.7085494995117
pr124,124,59030,False,0,,,1813.9675242900848,4284.979679107666
bier127,127,118282,False,0,,,1811.731184959412,3626.433925628662
ch130,130,6110,False,0,,,1812.3817689418795,3755.147254943848
pr136,136,96772,False,1,110927.0,0.1462716488240401,1818.220510721207,4150.0818519592285
pr144,144,58537,False,0,,,1807.4756982326508,2404.374828338623
ch150,150,6528,False,1,8488.0,0.3002450980392157,1818.060872077942,5809.286266326904
kroA150,150,26524,False,0,,,1809.6264905929563,3218.4243354797363
kroB150,150,26130,False,5,32258.0,0.2345197091465747,1821.6358487606049,5481.47696685791
pr152,152,73682,False,0,,,1812.0649251937864,4190.569061279297
u159,159,42080,False,0,,,1802.4961841106413,454.8976135253906
rat195,195,2323,False,4,2700.0,0.1622901420576841,1808.195417165756,2253.009090423584
d198,198,15780,False,0,,,1805.523511171341,1914.527332305908
kroA200,200,29368,False,0,,,1809.3336009979248,3390.220767974853
kroB200,200,29437,False,0,,,1835.5800619125368,5045.683856964111
ts225,225,126643,False,0,,,1809.6785254478452,3888.4113235473633
tsp225,225,3919,False,1,4719.0,0.2041337075784639,1813.1344740390775,5284.840187072754
pr226,226,80369,False,0,,,1801.69452047348,613.2277908325195
gil262,262,2378,False,0,,,1809.878716945648,4583.88542175293
pr264,264,49135,False,0,,,1801.7034695148468,256.5687065124512
a280,280,2579,False,0,,,1802.7584443092344,1254.7048034667969
pr299,299,48191,False,0,,,1804.7449941635127,2154.141803741455
lin318,318,42029,False,0,,,1804.7262783050537,2118.6096954345703
linhp318,318,41345,False,0,,,1804.760389328003,2127.2742500305176
rd400,400,15281,False,0,,,1802.5655221939087,1483.8543548583984
fl417,417,11861,False,0,,,1801.9535591602323,125.73173904418944
pr439,439,107217,False,0,,,1800.9040305614471,425.4577369689941
pcb442,442,50778,False,0,,,1801.9427199363708,942.6664657592772
d493,493,35002,False,0,,,1801.0130393505096,151.62124633789062
u574,574,36905,False,0,,,1805.1770844459531,69.33742141723633
rat575,575,6773,False,0,,,1802.1934616565704,69.53558731079102
p654,654,34643,False,0,,,1801.3069152832031,47.589839935302734
d657,657,48912,False,0,,,1809.2625648975368,50.40620803833008
u724,724,41910,False,0,,,1816.8394467830656,40.47460174560547
rat783,783,8806,False,0,,,1811.2603874206543,32.78984451293945
pr1002,1002,259045,False,0,,,1805.3794198036196,20.14556884765625
u1060,1060,224094,False,0,,,1844.3792748451235,18.775901794433597
vm1084,1084,239297,False,0,,,1804.507152557373,16.048938751220703
pcb1173,1173,56892,False,0,,,1840.0320575237276,37.03254222869873
d1291,1291,50801,False,0,,,1852.768203735352,12.958175659179688
rl1304,1304,252948,False,0,,,1817.93013381958,11.799766540527344
rl1323,1323,270199,False,0,,,1837.0451958179476,11.340030670166016
nrw1379,1379,56638,False,0,,,1837.1546857357023,9.86663818359375
fl1400,1400,20127,False,0,,,1809.892087459564,13.395084381103516
u1432,1432,152970,False,0,,,1805.9430675506592,15.18001937866211
fl1577,1577,22204,False,0,,,1808.3938853740688,12.055904388427734
d1655,1655,62128,False,0,,,1886.8665943145752,11.137340545654297
vm1748,1748,336556,False,0,,,1945.2546601295471,8.654743194580078
u1817,1817,57201,False,0,,,1875.2136330604555,9.79718780517578
rl1889,1889,316536,False,0,,,1832.927808523178,7.763935089111328
d2103,2103,79952,False,0,,,1928.4709310531616,7.797737121582031
u2152,2152,64253,False,0,,,1993.3713274002075,7.980216979980469
u2319,2319,234256,False,0,,,1957.8216435909271,6.751121520996094
pr2392,2392,378032,False,0,,,1820.9742991924288,6.028720855712891
pcb3038,3038,137694,False,0,,,1830.2112591266632,4.266502380371094
fl3795,3795,28723,False,0,,,2424.2549710273743,3.978130340576172
fnl4461,4461,182566,False,0,,,1867.3905231952667,1.548809051513672
rl5915,5915,565040,False,0,,,3163.210827589035,2.096416473388672
rl5934,5934,554070,False,0,,,2964.35897397995,2.103374481201172
rl11849,11849,920847,False,0,,,23381.043164491653,4.310596466064453
usa13509,13509,19947008,False,0,,,,
brd14051,14051,468942,False,0,,,,
d15112,15112,1564590,False,0,,,,
d18512,18512,644650,False,0,,,,
